Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,EUR_price,Country,City,Number of views last 7 days
Cabin Boat,Marex power boats,Used boat,1988.0,10.0,3.27,GRP,43550.0,Denmark, SÃ¸nderjylland,159
Motor Yacht,Fairline power boats,Used boat,1996.0,9.86,3.24,GRP,45000.0,Croatia (Hrvatska), onbekend,281
Center console boat,Scanner power boats,Used boat,2019.0,7.07,2.85,GRP,46000.0,Croatia (Hrvatska), onbekend,82
Pilothouse,Quicksilver power boats,Used boat,2015.0,6.55,2.54,GRP,45370.0,Denmark, SydsjÃ¦lland,100
Sport Boat,Conam power boats,Used boat,1997.0,11.98,3.5,GRP,48000.0,Italy, Campania ,109
Deck Boat,Boston Whaler power boats,Used boat,2012.0,5.74,2.43,GRP,48000.0,Netherlands, In verkoophaven,46
Sport Boat,Rinker power boats,Used boat,2007.0,8.3,2.59,GRP,48000.0,Belgium, Maaseik (BE),245
Cabin Boat,Maril power boats,Used boat,2001.0,9.0,2.7,GRP,49450.0,Netherlands, In verkoophaven,125
Pilothouse,Flipper power boats,new boat from stock,2019.0,6.6,2.48,GRP,53361.0,Switzerland, VierwaldstÃ¤ttersee ,186
Sport Boat,Sea Ray power boats,new boat from stock,2019.0,5.97,2.54,GRP,49850.0,Germany, Bayern ,54
Sport Boat,Sea Ray power boats,new boat from stock,2019.0,5.97,2.54,GRP,49999.0,Germany, Bayern ,67
Sport Boat,IRON power boats,new boat on order,2020.0,6.52,2.44,GRP,49999.0,Germany, Kiel,64
Sport Boat,NUVA Yachts power boats,Display Model,2019.0,5.99,2.49,GRP,49950.0,Germany, LÃ¼becker Bucht ,160
Deck Boat,BÃ©nÃ©teau power boats,new boat from stock,2020.0,7.98,2.97,GRP,50200.0,Italy,,67
Pilothouse,Yamarin power boats,new boat from stock,2020.0,6.77,2.54,GRP,52000.0,Germany, auf Anfrage,270
Sport Boat,Raffaelli power boats,Used boat,1989.0,11.98,4.0,GRP,52000.0,Italy, Sardegna ,52
Motor Yacht,Storebro power boats,Used boat,1981.0,10.34,3.25,GRP,51350.0,Denmark, SÃ¸nderjylland,281
Pilothouse,BÃ©nÃ©teau power boats,new boat from stock,2019.0,7.48,2.53,GRP,54490.0,Germany, 86368 Gersthofen  - Augsburg,218
Motor Yacht,Menorquin power boats,Used boat,1996.0,9.14,3.52,GRP,55000.0,Spain, Mallorca ,113
Bowrider,Maxima power boats,new boat from stock,2020.0,8.4,2.8,GRP,57035.0,Germany, Lake Constance ,363
Flybridge,Piantoni (IT) power boats,Used boat,1989.0,13.11,4.41,GRP,57000.0,Italy, onbekend,57
Flybridge,Sagemar power boats,Used boat,2004.0,13.3,4.0,GRP,58000.0,Italy, Sardegna ,162
Motor Yacht,Vri-Jon power boats,Used boat,1991.0,11.4,3.85,Steel,59000.0,Netherlands, In verkoophaven,88
